Description,log2_diff,p
Ankyrin repeat domain-containing protein 26 OS=Homo sapiens OX=9606 GN=ANKRD26 PE=1 SV=1,0.808106667,0.015539196
26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens OX=9606 GN=PSMD11 PE=1 SV=3,0.8068434,0.005644411
Serotransferrin (Fragment) OS=Homo sapiens OX=9606 GN=TF PE=1 SV=1,0.803114,0.002364109
26S proteasome regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PSMC2 PE=1 SV=3,0.801971,0.001395197
A-kinase anchor protein 12 OS=Homo sapiens OX=9606 GN=AKAP12 PE=1 SV=4,0.799543333,0.000671168
Protein CEBPZOS OS=Homo sapiens OX=9606 GN=CEBPZOS PE=1 SV=2,0.797809,9.83247E-05
Prosaposin OS=Homo sapiens OX=9606 GN=PSAP PE=1 SV=2,0.797125333,0.000737374
Cyclin-G-associated kinase OS=Homo sapiens OX=9606 GN=GAK PE=1 SV=2,0.795433333,0.003131252
26S proteasome regulatory subunit 8 OS=Homo sapiens OX=9606 GN=PSMC5 PE=1 SV=1,0.792481667,0.008384847
Very long-chain acyl-CoA synthetase OS=Homo sapiens OX=9606 GN=SLC27A2 PE=1 SV=2,0.79181,0.000159906
Structural maintenance of chromosomes protein 4 OS=Homo sapiens OX=9606 GN=SMC4 PE=1 SV=2,0.78961,0.015657952
Peroxisomal carnitine O-octanoyltransferase OS=Homo sapiens OX=9606 GN=CROT PE=1 SV=1,0.78748,0.000591464
"Cytochrome b-c1 complex subunit 6, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRH PE=1 SV=2",0.783810333,0.027315174
Proteasome subunit beta type-3 OS=Homo sapiens OX=9606 GN=PSMB3 PE=1 SV=2,0.78279,0.001889
"Dimethyladenosine transferase 2, mitochondrial OS=Homo sapiens OX=9606 GN=TFB2M PE=1 SV=1",0.78129,6.40651E-05
Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2,0.780916667,0.002055826
ATP-binding cassette sub-family F member 2 OS=Homo sapiens OX=9606 GN=ABCF2 PE=1 SV=2,0.778756667,0.012797757
ATP-binding cassette sub-family F member 1 OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=2,0.776211333,0.011720959
Complement C4-B OS=Homo sapiens OX=9606 GN=C4B PE=1 SV=1,0.773454667,0.01915254
Serine/threonine-protein kinase PRP4 homolog OS=Homo sapiens OX=9606 GN=PRPF4B PE=1 SV=3,0.77198,0.00558962
26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens OX=9606 GN=PSMD2 PE=1 SV=3,0.767233333,0.00888754
Cell division control protein 42 homolog OS=Homo sapiens OX=9606 GN=CDC42 PE=1 SV=2,0.767050667,0.002161016
Protein ECT2 OS=Homo sapiens OX=9606 GN=ECT2 PE=1 SV=4,0.764793333,0.004874598
Annexin A1 OS=Homo sapiens OX=9606 GN=ANXA1 PE=1 SV=2,0.763076667,0.004648948
Glypican-1 OS=Homo sapiens OX=9606 GN=GPC1 PE=1 SV=2,0.760453667,0.000301673
Peroxiredoxin-1 OS=Homo sapiens OX=9606 GN=PRDX1 PE=1 SV=1,0.757951333,0.001559871
26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens OX=9606 GN=PSMD12 PE=1 SV=3,0.756426667,0.01501437
RuvB-like 2 OS=Homo sapiens OX=9606 GN=RUVBL2 PE=1 SV=3,0.753786667,0.014029198
Phosphoglucomutase-1 OS=Homo sapiens OX=9606 GN=PGM1 PE=1 SV=1,0.75326,0.013363708
Lupus La protein OS=Homo sapiens OX=9606 GN=SSB PE=1 SV=2,0.751805667,0.001290658
26S proteasome regulatory subunit 6A OS=Homo sapiens OX=9606 GN=PSMC3 PE=1 SV=3,0.751724667,0.002833768
Calpastatin (Fragment) OS=Homo sapiens OX=9606 GN=CAST PE=1 SV=1,0.75073,0.002332021
Mitoferrin-1 OS=Homo sapiens OX=9606 GN=SLC25A37 PE=2 SV=2,0.747139,0.000138319
Apoptosis-inducing factor 2 OS=Homo sapiens OX=9606 GN=AIFM2 PE=1 SV=1,0.745951,0.004773704
Calmegin OS=Homo sapiens OX=9606 GN=CLGN PE=1 SV=1,0.744939,0.008397119
MOB kinase activator 1B OS=Homo sapiens OX=9606 GN=MOB1B PE=1 SV=3,0.743325467,0.013063364
Integrin-linked protein kinase OS=Homo sapiens OX=9606 GN=ILK PE=1 SV=1,0.74146,0.036253924
"5-demethoxyubiquinone hydroxylase, mitochondrial OS=Homo sapiens OX=9606 GN=COQ7 PE=1 SV=1",0.731651,0.000155969
Proteasome endopeptidase complex OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1,0.730073333,0.006916688
Tetraspanin (Fragment) OS=Homo sapiens OX=9606 GN=CD81 PE=1 SV=1,0.7292345,1.60032E-05
Transmembrane protein 230 OS=Homo sapiens OX=9606 GN=TMEM230 PE=1 SV=1,0.726776667,0.000144382
"cDNA FLJ56329, highly similar to Myosin light polypeptide 6 OS=Homo sapiens OX=9606 GN=MYL6 PE=1 SV=1",0.725013933,0.102518509
Proteasome activator complex subunit 1 OS=Homo sapiens OX=9606 GN=PSME1 PE=1 SV=1,0.72288,0.012083164
D-3-phosphoglycerate dehydrogenase OS=Homo sapiens OX=9606 GN=PHGDH PE=1 SV=4,0.722813333,0.009280576
Nuclear migration protein nudC OS=Homo sapiens OX=9606 GN=NUDC PE=1 SV=1,0.720557333,0.03550442
Cytoplasmic FMR1-interacting protein 2 OS=Homo sapiens OX=9606 GN=CYFIP2 PE=1 SV=2,0.717986667,0.015520365
RuvB-like 1 OS=Homo sapiens OX=9606 GN=RUVBL1 PE=1 SV=1,0.717533333,0.010326923
Nascent polypeptide-associated complex subunit alpha OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1,0.714708333,0.021350387
Lactotransferrin (Fragment) OS=Homo sapiens OX=9606 GN=LTF PE=1 SV=1,0.714169,0.001772301
Ataxin-10 OS=Homo sapiens OX=9606 GN=ATXN10 PE=1 SV=1,0.713857667,0.006397414
Proteasome subunit beta type-7 OS=Homo sapiens OX=9606 GN=PSMB7 PE=1 SV=1,0.709313333,0.007349644
Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1,0.70928,0.028248726
Protein LSM14 homolog B OS=Homo sapiens OX=9606 GN=LSM14B PE=1 SV=1,0.70453,0.007118975
Calponin OS=Homo sapiens OX=9606 GN=CNN2 PE=1 SV=1,0.702058333,0.010636062
"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Homo sapiens OX=9606 GN=DLST PE=1 SV=4",0.699286,0.009010014
Perilipin-3 OS=Homo sapiens OX=9606 GN=PLIN3 PE=1 SV=3,0.696906667,0.006815854
"Succinate dehydrogenase assembly factor 4, mitochondrial OS=Homo sapiens OX=9606 GN=SDHAF4 PE=3 SV=1",0.695846667,0.001803356
Putative monooxygenase p33MONOX OS=Homo sapiens OX=9606 GN=KIAA1191 PE=1 SV=1,0.693686667,8.31668E-05
26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens OX=9606 GN=PSMD3 PE=1 SV=2,0.692597667,0.024596075
"Glutaminase kidney isoform, mitochondrial OS=Homo sapiens OX=9606 GN=GLS PE=1 SV=1",0.69169,0.000137652
Vacuolar protein sorting-associated protein 13C OS=Homo sapiens OX=9606 GN=VPS13C PE=1 SV=1,0.689813333,0.020587251
AP-3 complex subunit delta-1 OS=Homo sapiens OX=9606 GN=AP3D1 PE=1 SV=1,0.689583333,0.027121601
Aspartyl/asparaginyl beta-hydroxylase OS=Homo sapiens OX=9606 GN=ASPH PE=1 SV=3,0.68752,0.000704475
Translin OS=Homo sapiens OX=9606 GN=TSN PE=1 SV=1,0.68152,0.028404494
Lysophospholipase D GDPD1 OS=Homo sapiens OX=9606 GN=GDPD1 PE=1 SV=1,0.678563333,0.00359157
26S proteasome regulatory subunit 4 OS=Homo sapiens OX=9606 GN=PSMC1 PE=1 SV=1,0.669288667,0.003029436
Sorting nexin-1 OS=Homo sapiens OX=9606 GN=SNX1 PE=1 SV=3,0.666627,0.02026439
Short-chain dehydrogenase/reductase 3 OS=Homo sapiens OX=9606 GN=DHRS3 PE=1 SV=2,0.665880333,0.001656363
Annexin A7 OS=Homo sapiens OX=9606 GN=ANXA7 PE=1 SV=3,0.65997,0.080904773
Ubiquitin-conjugating enzyme E2 N OS=Homo sapiens OX=9606 GN=UBE2N PE=1 SV=1,0.656435667,0.016478573
"Calcium uptake protein 2, mitochondrial OS=Homo sapiens OX=9606 GN=MICU2 PE=1 SV=2",0.654716667,0.018885194
Septin-2 OS=Homo sapiens OX=9606 GN=SEPT2 PE=1 SV=1,0.648794,0.001291385
Microtubule-associated protein 4 OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=3,0.647555,0.007230447
Fermitin family homolog 2 OS=Homo sapiens OX=9606 GN=FERMT2 PE=1 SV=1,0.645193333,0.048318512
DNA ligase 3 OS=Homo sapiens OX=9606 GN=LIG3 PE=1 SV=2,0.644701667,0.001881623
Polyprenol reductase OS=Homo sapiens OX=9606 GN=SRD5A3 PE=1 SV=1,0.642353333,0.056570288
Collagen alpha-2(V) chain OS=Homo sapiens OX=9606 GN=COL5A2 PE=1 SV=1,0.641416667,0.002969833
Coiled-coil domain-containing protein 22 OS=Homo sapiens OX=9606 GN=CCDC22 PE=1 SV=1,0.639926667,0.040780214
5'-nucleotidase domain-containing protein 3 OS=Homo sapiens OX=9606 GN=NT5DC3 PE=1 SV=1,0.639071,0.000281439
Protein S100-A8 OS=Homo sapiens OX=9606 GN=S100A8 PE=1 SV=1,0.635591233,0.012432483
Transforming protein RhoA OS=Homo sapiens OX=9606 GN=RHOA PE=1 SV=1,0.633949,9.64792E-05
TBC1 domain family member 15 OS=Homo sapiens OX=9606 GN=TBC1D15 PE=1 SV=2,0.6335763,0.023136656
Tubulin alpha-4A chain OS=Homo sapiens OX=9606 GN=TUBA4A PE=1 SV=1,0.632782,0.026385315
Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4,0.632126667,0.020646609
Valine--tRNA ligase OS=Homo sapiens OX=9606 GN=VARS PE=1 SV=4,0.631905667,0.013514404
Serine/arginine repetitive matrix protein 1 OS=Homo sapiens OX=9606 GN=SRRM1 PE=1 SV=2,0.631343333,0.009003365
Protein S100-A9 OS=Homo sapiens OX=9606 GN=S100A9 PE=1 SV=1,0.62593,0.001523641
ATP-dependent RNA helicase DDX19A (Fragment) OS=Homo sapiens OX=9606 GN=DDX19A PE=1 SV=1,0.625726667,0.078354848
Rab GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=RABGAP1 PE=1 SV=3,0.62105,0.056451549
Gasdermin-E OS=Homo sapiens OX=9606 GN=GSDME PE=1 SV=2,0.620357367,0.003599361
Programmed cell death 6-interacting protein OS=Homo sapiens OX=9606 GN=PDCD6IP PE=1 SV=1,0.62034,0.016503491
Mitochondrial import receptor subunit TOM34 OS=Homo sapiens OX=9606 GN=TOMM34 PE=1 SV=2,0.617621333,0.00531598
Erythrocyte band 7 integral membrane protein OS=Homo sapiens OX=9606 GN=STOM PE=1 SV=3,0.613911,0.000590825
Disintegrin and metalloproteinase domain-containing protein 10 OS=Homo sapiens OX=9606 GN=ADAM10 PE=1 SV=1,0.613903333,0.000322073
Poly(rC)-binding protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=PCBP2 PE=1 SV=1,0.6139,0.150467675
Probable ubiquitin carboxyl-terminal hydrolase FAF-X OS=Homo sapiens OX=9606 GN=USP9X PE=1 SV=3,0.611805967,0.038484711
Condensin complex subunit 3 (Fragment) OS=Homo sapiens OX=9606 GN=NCAPG PE=1 SV=1,0.611316667,0.050819508
AP-3 complex subunit beta-1 OS=Homo sapiens OX=9606 GN=AP3B1 PE=1 SV=3,0.607456667,0.073435243
Dual specificity mitogen-activated protein kinase kinase 1 OS=Homo sapiens OX=9606 GN=MAP2K1 PE=1 SV=2,0.606381,0.021454395
"Dihydroorotate dehydrogenase (quinone), mitochondrial OS=Homo sapiens OX=9606 GN=DHODH PE=1 SV=3",0.605513333,0.000171124
"Serine beta-lactamase-like protein LACTB, mitochondrial OS=Homo sapiens OX=9606 GN=LACTB PE=1 SV=2",0.603117333,0.001238536
"Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6",0.602793333,0.239254807
"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial OS=Homo sapiens OX=9606 GN=CLPX PE=1 SV=2",0.602493333,9.27439E-05
Proteasome subunit alpha type-1 OS=Homo sapiens OX=9606 GN=PSMA1 PE=1 SV=1,0.600553333,0.014892573
Spartin OS=Homo sapiens OX=9606 GN=SPART PE=1 SV=1,0.598464167,0.029321283
T-complex protein 1 subunit epsilon OS=Homo sapiens OX=9606 GN=CCT5 PE=1 SV=1,0.598348667,0.036634627
Dynein light chain roadblock-type 1 OS=Homo sapiens OX=9606 GN=DYNLRB1 PE=1 SV=1,0.59659,0.003964421
Glucose-6-phosphate 1-dehydrogenase OS=Homo sapiens OX=9606 GN=G6PD PE=1 SV=4,0.595962667,0.000301227
Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1,0.595916667,0.002136019
Amino acid transporter OS=Homo sapiens OX=9606 GN=SLC1A3 PE=1 SV=1,0.595586667,0.005366654
SRSF protein kinase 1 (Fragment) OS=Homo sapiens OX=9606 GN=SRPK1 PE=1 SV=1,0.592829667,0.002312829
Cytoplasmic dynein 1 light intermediate chain 1 OS=Homo sapiens OX=9606 GN=DYNC1LI1 PE=1 SV=3,0.59268,0.003391414
Myosin regulatory light polypeptide 9 OS=Homo sapiens OX=9606 GN=MYL9 PE=1 SV=4,0.590898867,0.017047022
Basic leucine zipper and W2 domain-containing protein 2 OS=Homo sapiens OX=9606 GN=BZW2 PE=1 SV=1,0.590859933,0.058557318
Tubulin alpha-1A chain OS=Homo sapiens OX=9606 GN=TUBA1A PE=1 SV=1,0.590613333,0.011900614
Misshapen-like kinase 1 (Fragment) OS=Homo sapiens OX=9606 GN=MINK1 PE=1 SV=1,0.590506667,0.000143528
"Calcium uptake protein 1, mitochondrial OS=Homo sapiens OX=9606 GN=MICU1 PE=1 SV=1",0.590172933,0.018208198
Ubiquitin thioesterase OS=Homo sapiens OX=9606 GN=OTUB1 PE=1 SV=2,0.589803333,0.042445494
Mixed lineage kinase domain-like protein OS=Homo sapiens OX=9606 GN=MLKL PE=1 SV=1,0.589433333,0.051441953
Plastin-3 OS=Homo sapiens OX=9606 GN=PLS3 PE=1 SV=4,0.588628,0.048676615
Protein FAM49B (Fragment) OS=Homo sapiens OX=9606 GN=FAM49B PE=1 SV=1,0.5881318,0.014506622
Syntaxin-binding protein 1 OS=Homo sapiens OX=9606 GN=STXBP1 PE=1 SV=1,0.586908333,0.026669244
Probable phosphoglycerate mutase 4 OS=Homo sapiens OX=9606 GN=PGAM4 PE=3 SV=1,0.5854912,0.009730857
Septin-8 OS=Homo sapiens OX=9606 GN=SEPT8 PE=1 SV=1,0.5840303,0.001330738
Ubiquitin carboxyl-terminal hydrolase isozyme L5 OS=Homo sapiens OX=9606 GN=UCHL5 PE=1 SV=3,0.58328,0.025581911
"Keratin, type II cytoskeletal 78 OS=Homo sapiens OX=9606 GN=KRT78 PE=1 SV=2",0.582993,0.172290235
ADP-ribosylation factor GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=ARFGAP1 PE=1 SV=2,0.582726333,0.014938704
Transmembrane protein 141 OS=Homo sapiens OX=9606 GN=TMEM141 PE=1 SV=1,0.58236,0.000409803
Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4,0.581093333,0.009227864
Adenylyl cyclase-associated protein 1 OS=Homo sapiens OX=9606 GN=CAP1 PE=1 SV=5,0.579770333,0.04366674
HCLS1-associated protein X-1 OS=Homo sapiens OX=9606 GN=HAX1 PE=1 SV=2,0.579053667,0.000212452
FERM and PDZ domain-containing protein 3 OS=Homo sapiens OX=9606 GN=FRMPD3 PE=2 SV=2,0.577143333,0.279851022
Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens OX=9606 GN=AHSA1 PE=1 SV=1,0.576925667,0.024700644
Glutaredoxin-3 OS=Homo sapiens OX=9606 GN=GLRX3 PE=1 SV=2,0.576614667,0.034081041
Flavin reductase (NADPH) OS=Homo sapiens OX=9606 GN=BLVRB PE=1 SV=3,0.576526667,7.58407E-05
Catalase OS=Homo sapiens OX=9606 GN=CAT PE=1 SV=3,0.57606,0.000205891
Peroxisomal acyl-coenzyme A oxidase 1 OS=Homo sapiens OX=9606 GN=ACOX1 PE=1 SV=3,0.57605,2.16392E-06
Alpha-parvin OS=Homo sapiens OX=9606 GN=PARVA PE=1 SV=1,0.574656333,0.038163715
Multiple inositol polyphosphate phosphatase 1 OS=Homo sapiens OX=9606 GN=MINPP1 PE=1 SV=1,0.57458,0.007492385
Vesicle transport protein GOT1B OS=Homo sapiens OX=9606 GN=GOLT1B PE=1 SV=1,0.57363,0.000136158
60S acidic ribosomal protein P1 OS=Homo sapiens OX=9606 GN=RPLP1 PE=1 SV=1,0.572492,0.003555658
Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5,0.570773333,0.022055593
CDSN OS=Homo sapiens OX=9606 GN=CDSN PE=1 SV=1,0.565404667,0.180697953
Acetyl-CoA carboxylase 1 OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=2,0.565336333,0.020165704
Sorting nexin-12 OS=Homo sapiens OX=9606 GN=SNX12 PE=1 SV=1,0.564731533,0.032993456
Cytoskeleton-associated protein 5 OS=Homo sapiens OX=9606 GN=CKAP5 PE=1 SV=3,0.562256667,0.004956742
Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=4,0.560723333,0.027912127
Phosphatidylinositol transfer protein beta isoform OS=Homo sapiens OX=9606 GN=PITPNB PE=1 SV=2,0.5604019,0.005678096
T-complex protein 1 subunit zeta OS=Homo sapiens OX=9606 GN=CCT6A PE=1 SV=3,0.558723,0.023332298
Condensin complex subunit 1 OS=Homo sapiens OX=9606 GN=NCAPD2 PE=1 SV=3,0.55748,0.100928459
Acyl-CoA desaturase OS=Homo sapiens OX=9606 GN=SCD PE=1 SV=2,0.556093333,0.00494455
Glia-derived nexin OS=Homo sapiens OX=9606 GN=SERPINE2 PE=1 SV=1,0.554232,0.004101742
Small integral membrane protein 12 OS=Homo sapiens OX=9606 GN=SMIM12 PE=1 SV=3,0.553389333,0.006321482
"ATP-binding cassette sub-family B member 6, mitochondrial OS=Homo sapiens OX=9606 GN=ABCB6 PE=1 SV=1",0.551713333,0.019709794
Sorcin OS=Homo sapiens OX=9606 GN=SRI PE=1 SV=1,0.550883333,0.019690734
Protein UXT OS=Homo sapiens OX=9606 GN=UXT PE=1 SV=1,0.550136667,0.017700253
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 OS=Homo sapiens OX=9606 GN=PLCB3 PE=1 SV=2",0.548767,0.007052932
